,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,QP,,RLT,,IP,,FEAS,,MAX,,,,,,QP,,RLT,,IP,,FEAS,,MAX,,,Set,Size,Trivial Gap (%),,QP,,,RLT,,,IP,,,FEAS,,,MAX,
,,,GAP,T,GAP,T,GAP,T,GAP,T,GAP,T,,,,,GAP,T,GAP,T,GAP,T,GAP,T,GAP,T,,,,,,Gap (%),Time,,Gap (%),Time,,Gap (%),Time,,Gap (%),Time,,Gap (%),Time
full,5    ,15    ,0.00,1388.00,0.00,2010.15,0.00,0.41,0.00,1.72,0.00,0.12,,full,5    ,15    ,11.11,1990.24,26.67,3070.05,0.00,0.31,0.00,1.95,0.00,0.08,,full,5    ,54.5,,14.4,2205.1,,40.0,3335.0,,0.0,0.3,,0.0,2.7,,0.0,0.1
,,,33.33,3600.03,40.00,3600.00,0.00,0.21,0.00,2.34,0.00,0.06,,,,30    ,17.78,2419.89,53.33,3600.00,0.00,0.19,0.00,3.45,0.00,0.10,,,6    ,62.5,,37.7,3096.0,,55.6,3600.0,,0.0,2.2,,0.0,183.8,,0.0,2.2
,,,0.00,982.69,40.00,3600.00,0.00,0.30,0.00,1.80,0.00,0.07,,,6    ,15    ,35.71,2591.93,55.57,3600.00,0.00,1.64,0.00,107.15,0.00,1.34,,,7    ,68.2,,57.0,3615.0,,69.0,3600.0,,0.0,82.9,,0.0,3249.8,,0.0,239.8
,,30    ,33.33,3600.08,60.00,3600.00,0.00,0.21,0.00,2.89,0.00,0.13,,,,30    ,39.68,3600.02,55.57,3600.00,0.00,2.78,0.00,260.48,0.00,2.97,,miss,5    ,44.4,,3.3,630.4,,10.0,918.0,,0.0,0.0,,0.0,0.1,,0.0,0.0
,,,0.00,59.57,40.00,3600.00,0.00,0.19,0.00,4.17,0.00,0.09,,,7    ,15    ,45.83,3600.28,61.90,3600.00,0.00,148.24,0.00,2280.86,0.00,55.27,,,6    ,57.1,,28.6,3002.6,,50.0,3030.6,,0.0,1.3,,0.0,2.8,,0.0,0.2
,,,20.00,3600.02,60.00,3600.00,0.00,0.18,0.00,3.29,0.00,0.08,,,,30    ,68.07,3629.62,76.19,3600.00,0.00,17.58,0.00,4218.67,0.00,424.28,,,7    ,63.2,,55.5,3600.0,,71.2,3600.0,,0.0,136.1,,0.0,301.8,,0.0,90.4
,6    ,15    ,50.00,3600.02,50.00,3600.00,0.00,2.79,0.00,82.52,0.00,2.93,,miss,5    ,15    ,0.00,15.19,0.00,11.31,0.00,0.03,0.00,0.11,0.00,0.01,,drand,5    ,33.3,,13.9,2202.1,,47.8,3600.0,,0.0,0.2,,0.0,0.3,,0.0,0.2
,,,0.00,575.73,50.00,3600.00,0.00,0.50,0.00,51.84,0.00,0.57,,,,30    ,6.67,1245.63,20.00,1824.65,0.00,0.04,0.00,0.18,0.00,0.02,,,7    ,37.5,,38.1,3600.0,,69.0,3600.0,,0.0,7.9,,0.0,6.0,,0.0,4.9
,,,57.14,3600.03,66.70,3600.00,0.00,1.63,0.00,187.10,0.00,0.53,,,6    ,15    ,23.81,2405.23,33.33,2461.11,0.00,1.12,0.00,2.19,0.00,0.17,,,10    ,54.5,,53.9,3600.0,,72.2,3600.0,,2.1,1702.9,,0.0,306.7,,0.0,353.7
,,30    ,28.57,3600.02,50.00,3600.00,0.00,4.80,0.00,360.42,0.00,0.31,,,,30    ,33.33,3600.00,66.66,3600.00,0.00,1.50,0.00,3.43,0.00,0.19,,Average,,,,33.6,2839.0,,53.9,3209.3,,0.2,214.9,,0.0,450.5,,0.0,76.8
,,,57.14,3600.02,66.70,3600.00,0.00,1.82,0.00,57.33,0.00,0.59,,,7    ,15    ,47.02,3600.00,66.67,3600.00,0.00,91.68,0.00,81.25,0.00,34.79,,Solved,,,,14.0,,,7.0,,,53.0,,,54.0,,,54.0,
,,,33.33,3600.01,50.00,3600.00,0.00,1.71,0.00,363.69,0.00,8.02,,,,30    ,63.89,3600.00,75.66,3600.00,0.00,180.44,0.00,522.26,0.00,146.00,,,,,,,,,,,,,,,,,,,
,7    ,15    ,37.50,3600.01,57.14,3600.00,0.00,7.17,0.00,53.22,0.00,2.38,,drand,5    ,75    ,0.00,1166.95,37.78,3600.00,0.00,0.18,0.00,0.23,0.00,0.12,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.80,71.43,3600.00,0.00,24.07,0.00,4987.16,0.00,159.80,,,,110    ,27.78,3237.20,57.77,3600.00,0.00,0.28,0.00,0.37,0.00,0.19,,,,,,,,,,,,,,,,,,,
,,,37.50,3600.03,57.14,3600.00,0.00,413.48,0.00,1802.21,0.00,3.65,,,7    ,75    ,36.50,3600.00,68.25,3600.00,0.00,4.80,0.00,4.19,0.00,3.16,,,,,,,,,,,,,,,,,,,
,,30    ,62.50,3600.40,71.42,3600.00,0.00,18.61,0.00,5906.86,0.00,731.89,,,,110    ,39.68,3600.00,69.84,3600.00,0.00,11.00,0.00,7.89,0.00,6.60,,,,,,,,,,,,,,,,,,,
,,,75.00,3687.46,100.00,3600.00,0.00,10.52,0.00,3516.85,0.00,539.67,,,10    ,75    ,47.62,3600.00,68.45,3600.00,4.17,1261.26,0.00,246.57,0.00,289.85,,,,,,,,,,,,,,,,,,,
,,,66.70,3601.00,57.14,3600.00,0.00,23.62,0.00,3232.29,0.00,1.27,,,,110    ,60.18,3600.00,75.92,3600.00,0.00,2144.47,0.00,366.90,0.00,417.57,,,,,,,,,,,,,,,,,,,
miss,5    ,15    ,0.00,39.60,0.00,22.96,0.00,0.01,0.00,0.14,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,2.73,0.00,3.28,0.00,0.02,0.00,0.06,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,3.23,0.00,7.70,0.00,0.05,0.00,0.13,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30    ,20.00,3600.00,60.00,3600.00,0.00,0.06,0.00,0.15,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,43.84,0.00,255.03,0.00,0.01,0.00,0.19,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,93.04,0.00,1618.92,0.00,0.05,0.00,0.21,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6    ,15    ,0.00,15.70,0.00,183.33,0.00,0.55,0.00,1.80,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,50.00,3600.00,0.00,1.31,0.00,2.96,0.00,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.57,3600.00,50.00,3600.00,0.00,1.50,0.00,1.81,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30    ,33.33,3600.00,66.67,3600.00,0.00,1.46,0.00,2.77,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.67,3600.00,0.00,1.25,0.00,3.41,0.00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.66,3600.00,0.00,1.79,0.00,4.11,0.00,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7    ,15    ,50.00,3600.00,71.43,3600.00,0.00,62.39,0.00,51.69,0.00,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.00,71.43,3600.00,0.00,160.59,0.00,92.11,0.00,83.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.57,3600.00,57.14,3600.00,0.00,52.06,0.00,99.96,0.00,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30    ,62.50,3600.00,77.78,3600.00,0.00,167.50,0.00,197.84,0.00,247.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.00,71.42,3600.00,0.00,147.98,0.00,208.15,0.00,33.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66.66,3600.00,77.77,3600.00,0.00,225.84,0.00,1160.80,0.00,157.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drand,5    ,75    ,0.00,609.56,20.00,3600.00,0.00,0.09,0.00,0.18,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,286.89,33.33,3600.00,0.00,0.39,0.00,0.31,0.00,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,2604.39,60.00,3600.00,0.00,0.06,0.00,0.20,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110    ,33.33,3600.00,66.66,3600.00,0.00,0.40,0.00,0.40,0.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,2511.59,40.00,3600.00,0.00,0.07,0.00,0.31,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.00,3600.00,66.66,3600.00,0.00,0.38,0.00,0.41,0.00,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7    ,75    ,33.33,3600.00,66.66,3600.00,0.00,0.69,0.00,0.82,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,71.42,3600.00,0.00,13.09,0.00,10.92,0.00,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.66,3600.00,0.00,0.62,0.00,0.82,0.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110    ,42.85,3600.00,71.43,3600.00,0.00,16.51,0.00,10.54,0.00,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,71.42,3600.00,0.00,15.32,0.00,11.74,0.00,10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.33,3600.00,66.66,3600.00,0.00,1.16,0.00,1.39,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10    ,75    ,50.00,3600.00,71.42,3600.00,0.00,122.74,0.00,20.99,0.00,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.85,3600.00,71.43,3600.00,0.00,61.04,0.00,26.96,0.00,94.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50.00,3600.00,62.50,3600.00,12.50,3600.00,0.00,691.76,0.00,743.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110    ,62.50,3600.00,75.00,3600.00,0.00,3331.97,0.00,449.25,0.00,560.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62.50,3600.00,75.00,3600.00,0.00,46.71,0.00,76.97,0.00,94.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,55.55,3600.00,77.77,3600.00,0.00,3054.72,0.00,574.49,0.00,598.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,0,7,0,53,0,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
